tissue,cohort,mean_abs_r,max_abs_r,n_sig_sets,n_sets,n_samples
Esophagus - Mucosa,no_ventilator,0.3552112069484592,0.5005736038264424,13,14,187
Small Intestine - Terminal Ileum,no_ventilator,0.2903286636686168,0.6888205211804933,0,14,13
Esophagus - Gastroesophageal Junction,no_ventilator,0.2898366473836575,0.40259966075376197,10,14,122
Artery - Coronary,no_ventilator,0.2426613600685601,0.3229292051714085,3,14,83
Pancreas,no_ventilator,0.21306903409682995,0.3589398780125413,0,14,53
Kidney - Cortex,no_ventilator,0.21049690149999092,0.37593535035611325,1,14,61
Testis,no_ventilator,0.201962133176137,0.25999385786717866,6,14,160
Spleen,no_ventilator,0.1831304165048754,0.463754979571742,0,14,22
Vagina,no_ventilator,0.17943608810603343,0.5264584362561562,2,14,45
Cells - EBV-transformed lymphocytes,no_ventilator,0.17209419711315824,0.4150166616041395,0,14,42
Heart - Atrial Appendage,no_ventilator,0.16588748750256582,0.20993711111359534,4,14,226
Liver,no_ventilator,0.16550944829228573,0.3376267167798346,2,14,139
Brain - Cortex,no_ventilator,0.16287605664454027,0.28807315664371264,4,14,239
Uterus,no_ventilator,0.14403664532275673,0.3031108804044762,0,14,40
Brain - Hippocampus,no_ventilator,0.12747288611697005,0.2250327683503154,2,14,188
Whole Blood,no_ventilator,0.1271069876537301,0.2556753498359342,4,14,323
Heart - Left Ventricle,no_ventilator,0.12662702548853305,0.18170054612445014,0,14,185
Minor Salivary Gland,no_ventilator,0.12558565863109794,0.20809674968307892,0,14,56
Cells - Cultured fibroblasts,no_ventilator,0.12038591925669756,0.17841598780877488,0,14,207
Muscle - Skeletal,no_ventilator,0.11115085138933259,0.16052129799440784,1,14,367
Nerve - Tibial,no_ventilator,0.11079303587124371,0.21896457359576246,2,14,283
Adipose - Visceral (Omentum),no_ventilator,0.10827767868371892,0.149726866473281,0,14,227
Colon - Sigmoid,no_ventilator,0.10735757591213503,0.15691077516810747,0,14,137
Lung,no_ventilator,0.10625672072012471,0.23599229167158953,3,14,277
Brain - Cerebellar Hemisphere,no_ventilator,0.10395451008644213,0.23192814708348297,2,14,205
Brain - Nucleus accumbens (basal ganglia),no_ventilator,0.10187658682266897,0.1894186386897648,1,14,234
Artery - Aorta,no_ventilator,0.0961869525390632,0.1586050205249043,0,14,164
Ovary,no_ventilator,0.0912935225591743,0.24953095678382525,0,14,59
Brain - Caudate (basal ganglia),no_ventilator,0.08730654873249175,0.1832315495643549,0,14,236
Thyroid,no_ventilator,0.08605943786257313,0.1729672187313639,1,14,293
Brain - Putamen (basal ganglia),no_ventilator,0.08586914194811855,0.1825161526696284,0,14,197
Breast - Mammary Tissue,no_ventilator,0.0842888592387577,0.161493477490953,0,14,198
Brain - Amygdala,no_ventilator,0.08288976428426299,0.16650347137826088,0,14,146
Skin - Sun Exposed (Lower leg),no_ventilator,0.08142266979428539,0.12260909866581886,0,14,340
Prostate,no_ventilator,0.0807904350757243,0.19510221415637174,0,14,96
Esophagus - Muscularis,no_ventilator,0.0800848961103927,0.12829507247785313,0,14,150
Adrenal Gland,no_ventilator,0.07915544737167908,0.2047085437593535,0,14,63
Stomach,no_ventilator,0.0749696901736529,0.20728676415775904,0,14,57
Artery - Tibial,no_ventilator,0.07120338875073585,0.1288663663034004,0,14,282
Brain - Cerebellum,no_ventilator,0.06654181798117513,0.1973230370902413,1,14,230
Brain - Anterior cingulate cortex (BA24),no_ventilator,0.06090352264725622,0.17514702981236654,0,14,170
Brain - Frontal Cortex (BA9),no_ventilator,0.059335492954533615,0.13001532325927,0,14,198
Colon - Transverse,no_ventilator,0.05790895344533284,0.17691957928081767,0,14,89
Adipose - Subcutaneous,no_ventilator,0.05680905409449712,0.11367037196221769,0,14,299
Brain - Spinal cord (cervical c-1),no_ventilator,0.05269992149261678,0.11534900189981843,0,14,152
Skin - Not Sun Exposed (Suprapubic),no_ventilator,0.05166995935074858,0.11554110607722884,0,14,290
Brain - Substantia nigra,no_ventilator,0.04594317423124598,0.09687242080791353,0,14,135
Pituitary,no_ventilator,0.04256767484685175,0.1504035358501244,0,14,270
Brain - Hypothalamus,no_ventilator,0.030662935674819345,0.06450285166109555,0,14,195
Testis,all_with_ventilator,0.26939662403925757,0.38585733711494624,13,14,361
Heart - Left Ventricle,all_with_ventilator,0.25629760843635563,0.35370079808069765,14,14,431
Liver,all_with_ventilator,0.22902856886447986,0.33886442413425116,11,14,225
Bladder,all_with_ventilator,0.19759385574061056,0.6452301039224226,1,14,21
Kidney - Cortex,all_with_ventilator,0.18046322764832615,0.2795691421026855,3,14,85
Esophagus - Gastroesophageal Junction,all_with_ventilator,0.16650563558290804,0.24196660327114522,10,14,375
Esophagus - Mucosa,all_with_ventilator,0.1640781252927703,0.22669758116799832,13,14,553
Esophagus - Muscularis,all_with_ventilator,0.1624043789399485,0.26572809200486014,10,14,514
Adrenal Gland,all_with_ventilator,0.1616236993692637,0.2889911834074683,8,14,258
Cells - EBV-transformed lymphocytes,all_with_ventilator,0.16060579908282455,0.32529518205789276,1,14,58
Colon - Sigmoid,all_with_ventilator,0.1585806972286092,0.24744284416485832,10,14,373
Brain - Cortex,all_with_ventilator,0.15736151523175418,0.2704318305710393,7,14,255
Minor Salivary Gland,all_with_ventilator,0.1556215191265093,0.28123701559282227,6,14,162
Prostate,all_with_ventilator,0.15537369246509342,0.2434513688756181,8,14,245
Heart - Atrial Appendage,all_with_ventilator,0.14509450114776362,0.2348233748069439,9,14,429
Skin - Not Sun Exposed (Suprapubic),all_with_ventilator,0.1384184609615718,0.23789756576738663,10,14,604
Adipose - Subcutaneous,all_with_ventilator,0.13836328986344287,0.30309180654005097,9,14,651
Brain - Hippocampus,all_with_ventilator,0.12125734001873842,0.22554579239247138,3,14,197
Small Intestine - Terminal Ileum,all_with_ventilator,0.11894012128372118,0.2577269947585905,3,14,187
Lung,all_with_ventilator,0.1158074115582459,0.2887541697173251,5,14,576
Whole Blood,all_with_ventilator,0.11140254258710437,0.22734243898227394,5,14,415
Brain - Nucleus accumbens (basal ganglia),all_with_ventilator,0.10099513280936931,0.19476890482806106,2,14,246
Artery - Coronary,all_with_ventilator,0.0990067637528141,0.18081004281504653,3,14,240
Spleen,all_with_ventilator,0.09671745843232037,0.17845342789071977,2,14,240
Vagina,all_with_ventilator,0.09309895680500012,0.21733836789083896,2,14,154
Colon - Transverse,all_with_ventilator,0.09199188044686371,0.27019015795027823,4,14,405
Brain - Caudate (basal ganglia),all_with_ventilator,0.09155288375518843,0.1937581498878936,3,14,246
Brain - Cerebellar Hemisphere,all_with_ventilator,0.08932375052207991,0.20338734309320686,2,14,215
Breast - Mammary Tissue,all_with_ventilator,0.08911643276619889,0.20632577790897483,4,14,459
Ovary,all_with_ventilator,0.08332938945269568,0.1711411637428909,0,14,178
Muscle - Skeletal,all_with_ventilator,0.08283097836265059,0.17451646139669974,7,14,791
Stomach,all_with_ventilator,0.08123590696762648,0.22737625689520935,4,14,358
Brain - Putamen (basal ganglia),all_with_ventilator,0.08090051927440077,0.16024636486106691,0,14,205
Nerve - Tibial,all_with_ventilator,0.07952586781724602,0.1846651828354748,6,14,610
Brain - Amygdala,all_with_ventilator,0.079491178372733,0.16058555058566218,0,14,152
Artery - Tibial,all_with_ventilator,0.07728751753887074,0.11691483078962027,5,14,651
Cells - Cultured fibroblasts,all_with_ventilator,0.07140244119055418,0.1920552171559215,3,14,473
Uterus,all_with_ventilator,0.06977786782238381,0.1899799306356768,0,14,141
Pancreas,all_with_ventilator,0.0661506036886431,0.12945822627598266,0,14,328
Brain - Anterior cingulate cortex (BA24),all_with_ventilator,0.06421157753139277,0.18369879113372875,1,14,176
